"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 10 12:43:53 GMT 2023","Fri Mar 10 12:44:10 GMT 2023","16754","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Fri Mar 10 12:42:41 GMT 2023","Fri Mar 10 12:43:24 GMT 2023","42603","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"passed","Fri Mar 10 12:49:56 GMT 2023","Fri Mar 10 12:50:14 GMT 2023","17620","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
"passed","Fri Mar 10 12:49:07 GMT 2023","Fri Mar 10 12:49:32 GMT 2023","24658","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Fri Mar 10 12:42:40 GMT 2023","Fri Mar 10 12:43:01 GMT 2023","20795","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"passed","Fri Mar 10 12:50:00 GMT 2023","Fri Mar 10 12:50:34 GMT 2023","33769","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Fri Mar 10 12:48:26 GMT 2023","Fri Mar 10 12:48:39 GMT 2023","13129","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
"failed","Fri Mar 10 12:47:16 GMT 2023","Fri Mar 10 12:47:57 GMT 2023","41119","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"failed","Fri Mar 10 12:48:39 GMT 2023","Fri Mar 10 12:49:28 GMT 2023","48803","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"passed","Fri Mar 10 12:43:30 GMT 2023","Fri Mar 10 12:43:40 GMT 2023","9442","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
