"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 02 16:56:59 UTC 2023","Thu Mar 02 16:57:34 UTC 2023","34260","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"broken","Thu Mar 02 17:00:05 UTC 2023","Thu Mar 02 17:00:17 UTC 2023","11855","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"passed","Thu Mar 02 16:58:02 UTC 2023","Thu Mar 02 16:58:18 UTC 2023","15699","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Thu Mar 02 16:58:45 UTC 2023","Thu Mar 02 16:59:00 UTC 2023","14268","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"broken","Thu Mar 02 16:58:44 UTC 2023","Thu Mar 02 16:58:55 UTC 2023","10917","","Login cases","","Login cases","Sign in on the ""Login"" screen","Sign in on the ""Login"" screen",""
"passed","Thu Mar 02 16:57:02 UTC 2023","Thu Mar 02 16:57:22 UTC 2023","20004","","Drag-and-Drop cases","","Drag-and-Drop cases","Compare puzzle's pieces into image on the ""Drag"" screen","Compare puzzle's pieces into image on the ""Drag"" screen",""
"passed","Thu Mar 02 17:00:10 UTC 2023","Thu Mar 02 17:00:42 UTC 2023","32018","","Swipe","","Swipe","Find the hidden element","Find the hidden element",""
"broken","Thu Mar 02 16:58:01 UTC 2023","Thu Mar 02 16:58:12 UTC 2023","11000","","Fill out forms","","Fill out forms","Fill out the form","Fill out the form",""
"passed","Thu Mar 02 16:59:27 UTC 2023","Thu Mar 02 16:59:44 UTC 2023","16974","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
"broken","Thu Mar 02 16:59:22 UTC 2023","Thu Mar 02 16:59:33 UTC 2023","10820","","Sign in cases","","Sign in cases","Sign up on the ""Login"" screen","Sign up on the ""Login"" screen",""
